trial,counts,energies
49,"{'1111': 3, '1110': 54, '0001': 159, '0010': 181, '0000': 29, '1100': 9, '0101': 131, '1001': 68, '0100': 19, '1010': 68, '1000': 13, '0110': 132, '1101': 77, '1011': 9, '0011': 27, '0111': 21}","{'H_AFM': 0.526, 'H_FM': 0.526, 'H_TF': 0.526, 'H_XY': 0.526, 'H_RF': 0.526}"
50,"{'0000': 32, '0001': 35, '1010': 42, '0100': 106, '1110': 60, '0111': 26, '0011': 150, '1011': 130, '1101': 52, '1100': 130, '0101': 54, '1001': 37, '0110': 44, '1000': 39, '0010': 36, '1111': 27}","{'H_AFM': -0.08399999999999995, 'H_FM': -0.08399999999999995, 'H_TF': -0.08399999999999995, 'H_XY': -0.08399999999999995, 'H_RF': -0.08399999999999995}"
51,"{'1000': 2, '0110': 6, '1100': 14, '1011': 108, '0111': 139, '0011': 124, '1111': 92, '0001': 108, '1110': 8, '1101': 115, '0101': 105, '1001': 118, '0010': 20, '0000': 4, '0100': 15, '1010': 22}","{'H_AFM': -0.8019999999999999, 'H_FM': -0.8019999999999999, 'H_TF': -0.8019999999999999, 'H_XY': -0.8019999999999999, 'H_RF': -0.8019999999999999}"
52,"{'1110': 8, '1101': 55, '0000': 36, '0010': 80, '1100': 134, '0100': 126, '1010': 62, '1011': 25, '0011': 32, '0111': 61, '1001': 102, '0101': 50, '0001': 116, '1111': 60, '1000': 43, '0110': 10}","{'H_AFM': 0.33599999999999997, 'H_FM': 0.33599999999999997, 'H_TF': 0.33599999999999997, 'H_XY': 0.33599999999999997, 'H_RF': 0.33599999999999997}"
53,"{'1010': 2, '0110': 1, '1101': 43, '1110': 1, '0101': 12, '0001': 12, '0000': 92, '1001': 71, '1100': 293, '1000': 403, '0100': 70}","{'H_AFM': 1.25, 'H_FM': 1.25, 'H_TF': 1.25, 'H_XY': 1.25, 'H_RF': 1.25}"
54,"{'1010': 1, '0001': 15, '0000': 4, '0010': 74, '0111': 1, '0011': 420, '0110': 10, '0100': 398, '0101': 77}","{'H_AFM': 0.988, 'H_FM': 0.988, 'H_TF': 0.988, 'H_XY': 0.988, 'H_RF': 0.988}"
55,"{'1010': 16, '1111': 40, '0010': 56, '0000': 89, '1100': 35, '0111': 114, '0011': 48, '1011': 25, '0001': 100, '1110': 54, '1001': 33, '0101': 88, '0100': 117, '1101': 21, '1000': 28, '0110': 136}","{'H_AFM': 0.37, 'H_FM': 0.37, 'H_TF': 0.37, 'H_XY': 0.37, 'H_RF': 0.37}"
56,"{'0111': 14, '0011': 112, '1011': 17, '0000': 107, '0010': 133, '0001': 85, '1111': 120, '1101': 97, '1100': 106, '0110': 16, '1000': 20, '1001': 20, '0101': 25, '1110': 91, '1010': 22, '0100': 15}","{'H_AFM': 0.01600000000000007, 'H_FM': 0.01600000000000007, 'H_TF': 0.01600000000000007, 'H_XY': 0.01600000000000007, 'H_RF': 0.01600000000000007}"
57,"{'1011': 4, '1100': 15, '1010': 8, '1110': 251, '0101': 5, '1001': 23, '0000': 287, '0010': 16, '1111': 129, '0001': 126, '0100': 9, '1000': 51, '0110': 45, '1101': 7, '0011': 7, '0111': 17}","{'H_AFM': 0.47799999999999987, 'H_FM': 0.47799999999999987, 'H_TF': 0.47799999999999987, 'H_XY': 0.47799999999999987, 'H_RF': 0.47799999999999987}"
58,"{'0011': 39, '0111': 37, '1101': 8, '0010': 134, '0000': 23, '0110': 98, '1000': 35, '1100': 34, '1011': 56, '0100': 10, '1010': 284, '1110': 154, '1001': 15, '0101': 4, '0001': 7, '1111': 62}","{'H_AFM': -0.294, 'H_FM': -0.294, 'H_TF': -0.294, 'H_XY': -0.294, 'H_RF': -0.294}"
59,"{'1101': 1, '1000': 1, '0110': 240, '0111': 209, '0011': 213, '1011': 9, '0010': 220, '0000': 17, '1110': 10, '0100': 17, '1111': 8, '0001': 13, '0101': 31, '1001': 2, '1010': 9}","{'H_AFM': 0.08, 'H_FM': 0.08, 'H_TF': 0.08, 'H_XY': 0.08, 'H_RF': 0.08}"
60,"{'0000': 1, '1010': 1, '0001': 1, '1110': 31, '1100': 176, '0101': 94, '1001': 8, '1000': 7, '0110': 220, '1101': 256, '1011': 3, '0111': 136, '0011': 4, '0100': 49, '1111': 7, '0010': 6}","{'H_AFM': -0.7500000000000001, 'H_FM': -0.7500000000000001, 'H_TF': -0.7500000000000001, 'H_XY': -0.7500000000000001, 'H_RF': -0.7500000000000001}"
61,"{'1111': 3, '1010': 73, '1101': 41, '0110': 180, '1000': 25, '1100': 52, '0101': 52, '1001': 112, '0001': 126, '1110': 167, '0100': 57, '1011': 9, '0011': 13, '0111': 4, '0010': 64, '0000': 22}","{'H_AFM': 0.178, 'H_FM': 0.178, 'H_TF': 0.178, 'H_XY': 0.178, 'H_RF': 0.178}"
62,"{'1100': 5, '0001': 2, '1010': 2, '1011': 72, '0011': 140, '0111': 1, '1001': 49, '0101': 97, '1110': 150, '1000': 110, '0110': 91, '1101': 75, '0100': 46, '0000': 87, '0010': 27, '1111': 46}","{'H_AFM': -0.061999999999999944, 'H_FM': -0.061999999999999944, 'H_TF': -0.061999999999999944, 'H_XY': -0.061999999999999944, 'H_RF': -0.061999999999999944}"
63,"{'1101': 2, '1011': 7, '1010': 23, '1110': 136, '0101': 1, '1001': 214, '1100': 73, '0001': 171, '1111': 57, '0011': 12, '0111': 33, '0100': 57, '1000': 39, '0110': 124, '0010': 20, '0000': 31}","{'H_AFM': 0.11399999999999999, 'H_FM': 0.11399999999999999, 'H_TF': 0.11399999999999999, 'H_XY': 0.11399999999999999, 'H_RF': 0.11399999999999999}"
64,"{'1111': 4, '1101': 6, '1010': 117, '0110': 260, '1000': 68, '1100': 70, '0010': 275, '0000': 11, '1011': 11, '0111': 26, '0011': 23, '1110': 90, '1001': 9, '0101': 2, '0100': 28}","{'H_AFM': 0.504, 'H_FM': 0.504, 'H_TF': 0.504, 'H_XY': 0.504, 'H_RF': 0.504}"
65,"{'1011': 183, '0111': 2, '0011': 14, '1010': 233, '0110': 3, '1000': 216, '1100': 35, '0101': 1, '1001': 151, '1111': 30, '0001': 10, '1110': 49, '0010': 18, '0000': 24, '1101': 28, '0100': 3}","{'H_AFM': -0.054000000000000006, 'H_FM': -0.054000000000000006, 'H_TF': -0.054000000000000006, 'H_XY': -0.054000000000000006, 'H_RF': -0.054000000000000006}"
66,"{'1011': 1, '0001': 1, '1010': 208, '1100': 374, '1101': 206, '1000': 9, '0110': 4, '1111': 39, '0100': 43, '1001': 13, '0101': 29, '1110': 50, '0010': 17, '0000': 1, '0111': 5}","{'H_AFM': -0.5359999999999999, 'H_FM': -0.5359999999999999, 'H_TF': -0.5359999999999999, 'H_XY': -0.5359999999999999, 'H_RF': -0.5359999999999999}"
67,"{'0011': 12, '0111': 16, '0010': 15, '1111': 17, '0001': 70, '1010': 36, '1110': 17, '1100': 63, '0101': 141, '1001': 140, '1011': 17, '1101': 76, '1000': 164, '0110': 14, '0100': 120, '0000': 82}","{'H_AFM': 0.746, 'H_FM': 0.746, 'H_TF': 0.746, 'H_XY': 0.746, 'H_RF': 0.746}"
68,"{'0100': 2, '1111': 17, '0000': 4, '1110': 34, '1100': 79, '0101': 20, '1001': 52, '0111': 168, '0011': 154, '1011': 17, '0010': 138, '1101': 53, '1000': 60, '0110': 148, '0001': 25, '1010': 29}","{'H_AFM': -0.14599999999999996, 'H_FM': -0.14599999999999996, 'H_TF': -0.14599999999999996, 'H_XY': -0.14599999999999996, 'H_RF': -0.14599999999999996}"
69,"{'0001': 15, '1101': 50, '1000': 3, '0110': 81, '1100': 256, '1011': 9, '0011': 5, '0111': 16, '1110': 79, '0101': 39, '1010': 61, '0100': 224, '0000': 109, '0010': 44, '1111': 9}","{'H_AFM': 0.6639999999999999, 'H_FM': 0.6639999999999999, 'H_TF': 0.6639999999999999, 'H_XY': 0.6639999999999999, 'H_RF': 0.6639999999999999}"
70,"{'0000': 3, '1100': 40, '0110': 8, '1000': 47, '0011': 12, '0111': 134, '1011': 153, '0010': 118, '1110': 116, '1001': 35, '0101': 4, '1111': 85, '0001': 55, '1010': 98, '1101': 36, '0100': 56}","{'H_AFM': -0.654, 'H_FM': -0.654, 'H_TF': -0.654, 'H_XY': -0.654, 'H_RF': -0.654}"
71,"{'0100': 32, '0101': 92, '0010': 63, '0000': 41, '0110': 354, '0001': 104, '0111': 8, '0011': 306}","{'H_AFM': 0.5459999999999999, 'H_FM': 0.5459999999999999, 'H_TF': 0.5459999999999999, 'H_XY': 0.5459999999999999, 'H_RF': 0.5459999999999999}"
72,"{'1101': 24, '0111': 7, '0011': 172, '1011': 32, '1110': 184, '1100': 157, '0101': 7, '1001': 41, '1010': 3, '0010': 15, '0000': 32, '0001': 184, '1111': 36, '1000': 12, '0110': 49, '0100': 45}","{'H_AFM': 0.0020000000000000295, 'H_FM': 0.0020000000000000295, 'H_TF': 0.0020000000000000295, 'H_XY': 0.0020000000000000295, 'H_RF': 0.0020000000000000295}"
73,"{'1011': 4, '1101': 13, '0100': 12, '1010': 91, '1100': 4, '0111': 29, '0011': 4, '1000': 52, '0110': 26, '0001': 262, '1111': 26, '0010': 105, '0000': 56, '1110': 18, '1001': 281, '0101': 17}","{'H_AFM': 0.854, 'H_FM': 0.854, 'H_TF': 0.854, 'H_XY': 0.854, 'H_RF': 0.854}"
74,"{'0001': 40, '0111': 17, '0011': 13, '1101': 125, '1111': 36, '0100': 60, '1100': 166, '0110': 18, '1000': 148, '1001': 105, '0101': 46, '1110': 50, '0010': 19, '0000': 66, '1010': 51, '1011': 40}","{'H_AFM': 0.19, 'H_FM': 0.19, 'H_TF': 0.19, 'H_XY': 0.19, 'H_RF': 0.19}"
75,"{'0010': 19, '1101': 10, '1100': 6, '1001': 140, '0101': 217, '1110': 4, '0100': 201, '0001': 90, '1111': 3, '1011': 17, '0111': 29, '0011': 15, '1000': 129, '0110': 33, '1010': 13, '0000': 74}","{'H_AFM': 1.042, 'H_FM': 1.042, 'H_TF': 1.042, 'H_XY': 1.042, 'H_RF': 1.042}"
76,"{'1101': 1, '0000': 412, '0010': 56, '0101': 1, '1001': 39, '1100': 9, '1110': 76, '1000': 216, '0110': 46, '1111': 4, '0001': 73, '1011': 7, '0111': 10, '0011': 7, '1010': 36, '0100': 7}","{'H_AFM': 2.148, 'H_FM': 2.148, 'H_TF': 2.148, 'H_XY': 2.148, 'H_RF': 2.148}"
77,"{'1111': 46, '1110': 195, '1010': 50, '1011': 210, '1001': 65, '1000': 185, '1100': 64, '1101': 185}","{'H_AFM': -0.994, 'H_FM': -0.994, 'H_TF': -0.994, 'H_XY': -0.994, 'H_RF': -0.994}"
78,"{'1111': 1, '1100': 22, '0010': 462, '0000': 81, '1011': 25, '0011': 98, '0111': 7, '1001': 4, '0101': 24, '1110': 5, '1010': 95, '0001': 20, '1101': 6, '0100': 107, '0110': 27, '1000': 16}","{'H_AFM': 1.444, 'H_FM': 1.444, 'H_TF': 1.444, 'H_XY': 1.444, 'H_RF': 1.444}"
79,"{'0010': 31, '1100': 160, '0101': 11, '1001': 44, '1011': 19, '0111': 14, '0011': 126, '1110': 108, '1000': 23, '0110': 91, '1101': 6, '0100': 52, '1010': 90, '0001': 138, '1111': 35, '0000': 52}","{'H_AFM': 0.262, 'H_FM': 0.262, 'H_TF': 0.262, 'H_XY': 0.262, 'H_RF': 0.262}"
80,"{'0110': 163, '0101': 143, '0100': 100, '0000': 136, '0010': 102, '0001': 121, '0111': 90, '0011': 145}","{'H_AFM': 1.01, 'H_FM': 1.01, 'H_TF': 1.01, 'H_XY': 1.01, 'H_RF': 1.01}"
81,"{'0010': 7, '1011': 109, '0111': 207, '0011': 260, '1111': 158, '0001': 97, '1101': 50, '1000': 1, '0110': 4, '1001': 39, '0101': 59, '1110': 1, '0100': 4, '1010': 3, '0000': 1}","{'H_AFM': -1.1440000000000001, 'H_FM': -1.1440000000000001, 'H_TF': -1.1440000000000001, 'H_XY': -1.1440000000000001, 'H_RF': -1.1440000000000001}"
82,"{'1010': 1, '1011': 6, '1110': 62, '1001': 23, '0101': 80, '1111': 67, '0001': 114, '1101': 55, '0111': 123, '0011': 51, '0100': 63, '0000': 98, '0010': 51, '0110': 143, '1000': 18, '1100': 45}","{'H_AFM': 0.12399999999999997, 'H_FM': 0.12399999999999997, 'H_TF': 0.12399999999999997, 'H_XY': 0.12399999999999997, 'H_RF': 0.12399999999999997}"
83,"{'0010': 24, '1111': 36, '0001': 25, '1101': 23, '0110': 145, '1000': 249, '1100': 86, '1110': 60, '0101': 15, '0100': 151, '0000': 74, '1010': 47, '0111': 34, '0011': 11, '1011': 20}","{'H_AFM': 0.776, 'H_FM': 0.776, 'H_TF': 0.776, 'H_XY': 0.776, 'H_RF': 0.776}"
84,"{'0100': 22, '0101': 19, '0001': 51, '0110': 109, '0000': 56, '0010': 310, '0011': 324, '0111': 109}","{'H_AFM': 0.772, 'H_FM': 0.772, 'H_TF': 0.772, 'H_XY': 0.772, 'H_RF': 0.772}"
85,"{'1010': 8, '0010': 29, '0001': 40, '1111': 105, '0111': 67, '0011': 162, '1011': 69, '0000': 126, '1001': 14, '0101': 39, '1110': 49, '1101': 62, '1100': 94, '0110': 25, '1000': 49, '0100': 62}","{'H_AFM': -0.05000000000000002, 'H_FM': -0.05000000000000002, 'H_TF': -0.05000000000000002, 'H_XY': -0.05000000000000002, 'H_RF': -0.05000000000000002}"
86,"{'1110': 6, '1011': 7, '1111': 5, '0010': 142, '0000': 61, '1100': 40, '0011': 168, '0111': 56, '0100': 31, '0001': 60, '1010': 16, '1001': 126, '0101': 28, '1000': 120, '0110': 82, '1101': 52}","{'H_AFM': 0.6880000000000001, 'H_FM': 0.6880000000000001, 'H_TF': 0.6880000000000001, 'H_XY': 0.6880000000000001, 'H_RF': 0.6880000000000001}"
87,"{'0000': 1, '0010': 7, '1011': 58, '0011': 347, '0111': 9, '1101': 2, '1110': 68, '0101': 1, '1001': 42, '0110': 340, '1000': 3, '1100': 42, '0001': 33, '0100': 46, '1010': 1}","{'H_AFM': -0.092, 'H_FM': -0.092, 'H_TF': -0.092, 'H_XY': -0.092, 'H_RF': -0.092}"
88,"{'0010': 10, '1110': 162, '0101': 29, '1001': 52, '1100': 24, '0011': 15, '0111': 129, '1011': 17, '1010': 16, '1111': 154, '0001': 86, '0000': 62, '0100': 22, '1000': 75, '0110': 126, '1101': 21}","{'H_AFM': -0.6400000000000002, 'H_FM': -0.6400000000000002, 'H_TF': -0.6400000000000002, 'H_XY': -0.6400000000000002, 'H_RF': -0.6400000000000002}"
89,"{'0100': 5, '1010': 8, '1001': 6, '1110': 3, '0101': 79, '1101': 3, '0110': 84, '1011': 6, '0111': 26, '0011': 106, '0000': 27, '0010': 320, '0001': 327}","{'H_AFM': 1.336, 'H_FM': 1.336, 'H_TF': 1.336, 'H_XY': 1.336, 'H_RF': 1.336}"
90,"{'0111': 1, '1011': 1, '0000': 10, '0110': 2, '1101': 84, '1000': 5, '1001': 12, '1100': 168, '0100': 471, '0001': 39, '1111': 6, '1110': 11, '0101': 190}","{'H_AFM': 0.8519999999999999, 'H_FM': 0.8519999999999999, 'H_TF': 0.8519999999999999, 'H_XY': 0.8519999999999999, 'H_RF': 0.8519999999999999}"
91,"{'1010': 3, '1101': 7, '0001': 1, '1111': 31, '1011': 70, '1110': 415, '1100': 71, '1000': 38, '1001': 364}","{'H_AFM': -1.0299999999999998, 'H_FM': -1.0299999999999998, 'H_TF': -1.0299999999999998, 'H_XY': -1.0299999999999998, 'H_RF': -1.0299999999999998}"
92,"{'1101': 31, '0000': 34, '1110': 107, '1010': 74, '0100': 57, '0101': 57, '1001': 35, '1100': 32, '1111': 90, '0001': 25, '0011': 128, '0111': 56, '1011': 64, '0010': 125, '1000': 35, '0110': 50}","{'H_AFM': -0.25599999999999995, 'H_FM': -0.25599999999999995, 'H_TF': -0.25599999999999995, 'H_XY': -0.25599999999999995, 'H_RF': -0.25599999999999995}"
93,"{'0100': 42, '0000': 69, '1100': 216, '1000': 201, '0011': 58, '0111': 35, '1011': 170, '1111': 209}","{'H_AFM': -0.48400000000000004, 'H_FM': -0.48400000000000004, 'H_TF': -0.48400000000000004, 'H_XY': -0.48400000000000004, 'H_RF': -0.48400000000000004}"
94,"{'1011': 14, '1010': 10, '0001': 110, '1111': 142, '0010': 30, '0000': 89, '1110': 135, '1101': 20, '0110': 22, '1000': 129, '0101': 56, '1001': 122, '1100': 20, '0100': 46, '0111': 35, '0011': 20}","{'H_AFM': 0.010000000000000037, 'H_FM': 0.010000000000000037, 'H_TF': 0.010000000000000037, 'H_XY': 0.010000000000000037, 'H_RF': 0.010000000000000037}"
95,"{'1110': 11, '1011': 161, '0111': 5, '0011': 199, '1100': 318, '0110': 2, '1000': 36, '1101': 52, '0100': 41, '1001': 8, '0101': 8, '1111': 48, '0001': 11, '0000': 43, '0010': 29, '1010': 28}","{'H_AFM': -0.244, 'H_FM': -0.244, 'H_TF': -0.244, 'H_XY': -0.244, 'H_RF': -0.244}"
96,"{'1010': 3, '0001': 227, '1111': 1, '1101': 5, '0100': 197, '0111': 19, '0011': 118, '1110': 9, '0000': 93, '0010': 26, '0101': 157, '1001': 13, '1100': 8, '0110': 122, '1000': 2}","{'H_AFM': 1.206, 'H_FM': 1.206, 'H_TF': 1.206, 'H_XY': 1.206, 'H_RF': 1.206}"
97,"{'1110': 38, '1101': 12, '1011': 76, '0111': 23, '0011': 24, '1100': 135, '0101': 103, '1001': 51, '0001': 63, '1111': 83, '0000': 42, '0010': 95, '0100': 83, '1010': 110, '1000': 27, '0110': 35}","{'H_AFM': 0.07400000000000004, 'H_FM': 0.07400000000000004, 'H_TF': 0.07400000000000004, 'H_XY': 0.07400000000000004, 'H_RF': 0.07400000000000004}"
98,"{'1010': 24, '1000': 52, '1001': 59, '1011': 17, '0011': 100, '0000': 282, '0010': 126, '0001': 340}","{'H_AFM': 2.13, 'H_FM': 2.13, 'H_TF': 2.13, 'H_XY': 2.13, 'H_RF': 2.13}"
99,"{'0000': 4, '1100': 19, '1010': 180, '0001': 50, '1111': 65, '1011': 60, '0111': 89, '0011': 84, '0010': 229, '1000': 2, '0110': 53, '1101': 25, '0100': 17, '1110': 41, '0101': 47, '1001': 35}","{'H_AFM': -0.07799999999999999, 'H_FM': -0.07799999999999999, 'H_TF': -0.07799999999999999, 'H_XY': -0.07799999999999999, 'H_RF': -0.07799999999999999}"
